article_id,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords,label,source_split,n_related_tweets,n_unique_tweets,n_replies,n_unique_reply_tweets,engagement_total,severity_applicable,severity_score,severity_label,base_harm_weight,propagation_multiplier_constant,propagation_multiplier_bucket,propagation_multiplier_linear,severity_strategy,severity_notes,engagement_bucket_fake_only,high_risk_keyword_hits,medium_risk_keyword_hits,guidance_keyword_hits
0,post,https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic,https://www.facebook.com/photo.php?fbid=551960552369167&set=a.112646526300574&type=3,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,,,,,,1,5,0,0,0,0,0,True,0.76,high,2.4,1.0,1.1,1.104,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,3,0,1
1,article,https://www.politifact.com/factchecks/2020/apr/21/wisconsin-republican-legislative-leaders/no-wisconsin-not-clearly-seeing-decline-covid-case/,http://legis.wisconsin.gov/assembly/republicans/news/wisconsin-legislature-takes-gov-evers-to-court/,Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.,"""Wisconsin Legislature Takes Gov. Evers to Court""",speaker robin vos r rochester and senate majority leader scott fitzgerald r juneau released the following statement after filing an original action in the wisconsin state supreme court challenging the governors extension of the safer at home order through may 26th. the public outcry over the safer at home order continues to increase as positive covid cases decrease or remain flat. there s immense frustration regarding the extension as it goes beyond the executive branchs statutory power. ,,,"""""",1,5,1,1,0,0,1,True,0.51,medium,1.6,1.0,1.0,1.004,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,high,0,3,1
2,post,https://factcheck.afp.com/posts-claim-children-covid-19-must-go-hospitals-alone,https://www.facebook.com/iAmJessenia/photos/a.10151658017176441/10156793962781441/?type=3,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,,,,,,1,5,0,0,0,0,0,True,0.35,medium,1.6,1.0,1.0,0.94,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,2
3,post,https://checkyourfact.com/2020/04/20/fact-check-india-banned-people-posting-coronavirus-social-media/,https://www.facebook.com/kokernagnews/photos/a.1070663659747172/2181164582030402/?type=3&theater,IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
5,post,https://checkyourfact.com/2020/04/20/fact-check-44-senators-vote-against-sending-coronavirus-stimulus-payments/,https://www.facebook.com/photo.php?fbid=10219317734188369&set=gm.642428883004151&type=3&theater&ifg=1,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
6,post,https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1,https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,,,,,,1,5,0,0,0,0,0,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,1,0,0
7,post,https://www.factcheck.org/2020/04/photo-of-lebanese-reporter-used-to-criticize-u-s-media/,https://www.facebook.com/508841265844302/posts/2975300649198339,A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
8,post,https://www.politifact.com/factchecks/2020/apr/21/viral-image/yes-photo-jacksonville-beach-during-pandemic/,https://www.facebook.com/photo.php?fbid=4061520807199318&set=a.514789045205863&type=3&theater,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed.",,,,,,1,5,0,0,0,0,0,True,0.21,low,1.0,1.0,0.9,0.884,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,1
9,post,https://www.politifact.com/factchecks/2020/apr/20/facebook-posts/news-photo-stay-home-protest-was-not-doctored/,https://www.facebook.com/groups/257912518942800/permalink/260828371984548/,News photo from stay-at-home protest was doctored to add Confederate flag.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
10,post,https://www.politifact.com/factchecks/2020/apr/20/facebook-posts/website-glitch-fueling-conspiracy-theory-about-cor/,https://www.facebook.com/photo.php?fbid=10157725913172839&set=a.10150164173912839&type=3,"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida.",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
11,post,https://www.politifact.com/factchecks/2020/apr/21/viral-image/no-isnt-photo-pregnant-woman-covid-19/,https://www.facebook.com/iamsmartdawn/photos/a.404372713464963/770017850233779/?type=3&theater,ÒMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonÕt survive it.Ó,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
13,,https://www.washingtonpost.com/politics/2020/04/22/did-trump-ship-17-tons-american-masks-china/,,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,,,,,,1,5,0,0,0,0,0,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,1,0,0
