label,article_id,n_related_tweets,n_unique_tweets,n_replies,n_unique_reply_tweets,engagement_total
0,0,500,500,255,38,755
0,1,2,2,1,1,3
0,2,2,2,0,0,2
0,3,1,1,0,0,1
0,4,1,1,0,0,1
0,5,7,7,0,0,7
0,6,21,21,1,1,22
0,7,1,1,0,0,1
0,8,6,6,1,1,7
0,9,2,2,0,0,2
0,10,1,1,0,0,1
0,11,15,15,0,0,15
0,12,13,13,4,2,17
0,14,3,3,0,0,3
0,16,3,3,0,0,3
0,17,2,2,1,1,3
0,19,19,19,0,0,19
0,20,1,1,0,0,1
0,22,1,1,0,0,1
0,23,5,5,0,0,5
0,24,12,12,4,3,16
0,25,32,32,2,2,34
0,26,1,1,0,0,1
0,27,7,7,0,0,7
0,28,2,2,2,1,4
0,30,8,8,1,1,9
0,31,5,5,0,0,5
0,32,4,4,1,1,5
0,33,17,17,21,4,38
0,34,3,3,0,0,3
0,35,3,3,0,0,3
0,36,23,23,19,1,42
0,37,3,3,0,0,3
0,38,18,18,0,0,18
0,39,4,4,1,1,5
0,40,11,11,2,1,13
0,41,5,5,1,1,6
0,42,16,16,1,1,17
0,43,7,7,0,0,7
0,44,21,21,0,0,21
0,45,16,16,0,0,16
0,46,12,12,0,0,12
0,47,5,5,0,0,5
0,48,4,4,3,1,7
0,49,35,35,3,2,38
0,50,9,9,0,0,9
0,51,1,1,0,0,1
0,52,6,6,0,0,6
0,53,2,2,0,0,2
0,54,15,15,0,0,15
0,55,3,3,0,0,3
0,56,5,5,0,0,5
0,57,27,27,6,2,33
0,58,2,2,0,0,2
0,59,1,1,0,0,1
0,60,4,4,1,1,5
0,61,42,42,2,1,44
0,62,3,3,5,1,8
0,63,8,8,0,0,8
0,64,11,11,0,0,11
0,65,1,1,0,0,1
0,66,4,4,0,0,4
0,68,8,8,0,0,8
0,69,8,8,0,0,8
0,70,11,11,6,3,17
0,71,20,20,6,3,26
0,72,8,8,0,0,8
0,73,4,4,0,0,4
0,74,13,13,0,0,13
0,75,27,27,7,3,34
0,76,14,14,0,0,14
0,77,23,23,1,1,24
0,78,15,15,0,0,15
0,79,7,7,0,0,7
0,80,12,12,0,0,12
0,81,2,2,0,0,2
0,82,3,3,0,0,3
0,83,3,3,0,0,3
0,84,8,8,0,0,8
0,85,7,7,0,0,7
0,86,8,8,0,0,8
0,87,7,7,1,1,8
0,88,2,2,0,0,2
0,89,7,7,0,0,7
0,90,25,25,0,0,25
0,91,16,16,3,3,19
0,92,8,8,2,1,10
0,93,49,49,15,2,64
0,94,17,17,8,1,25
0,95,3,3,0,0,3
0,96,33,33,2,1,35
