node_id,primary_circle_id,circle_ids
65673,2,[2]
3359851,0,[0]
7806462,0,[0]
10228272,2,[2]
15373824,1,[1]
15993650,2,[2]
16955141,1,[1]
17148057,3,[3]
17216468,2,[2]
17663756,0,[0]
17879050,0,[0]
18742444,2,[2]
18948541,0,[0]
19084990,1,[1]
19088665,0,[0]
19364937,0,[0]
19645671,0,[0]
19725644,0,[0]
20870216,2,[2]
21225078,1,[1]
21624907,2,[2]
21678052,2,[2]
22784458,1,[1]
23041697,1,[1]
24117694,2,[2]
24997470,1,[1]
26967932,2,[2]
27548802,0,[0]
27853708,1,[1]
28149277,1,[1]
28482819,1,[1]
28886305,0,[0]
29514951,1,[1]
31353077,0,[0]
32511443,1,[1]
34068984,2,[2]
35617065,2,[2]
39177632,0,[0]
40758590,0,[0]
42300444,0,[0]
46140684,2,[2]
46423291,2,[2]
49447167,0,[0]
51477206,0,[0]
51899148,2,[2]
53154874,0,[0]
55048315,0,[0]
55406140,0,[0]
58931070,0,[0]
61933836,1,[1]
65936054,0,[0]
69051282,1,[1]
74230564,0,[0]
80661743,3,[3]
81229871,1,[1]
82030021,0,[0]
84200495,1,[1]
85501252,2,[2]
86476023,0,[0]
87655141,0,[0]
88127695,0,[0]
88130019,0,[0]
90420314,0,[0]
90722891,1,[1]
90779436,2,[2]
91105535,1,[1]
93583821,2,[2]
93885127,2,[2]
94918917,2,[2]
95980722,1,[1]
95996755,1,[1]
96513226,2,[2]
96821645,1,[1]
97417590,0,[0]
101859065,1,[1]
104155395,2,[2]
105035129,1,[1]
105643923,2,[2]
106607901,1,[1]
108621190,1,[1]
108928516,0,[0]
111164068,1,[1]
114019911,0,[0]
114023805,1,[1]
115273013,0,[0]
116952434,2,[2]
117517146,2,[2]
119121697,2,[2]
120428242,1,[1]
123348683,2,[2]
125882868,0,[0]
126444583,1,[1]
131348416,0,[0]
131601987,1,[1]
133217484,2,[2]
137962169,2,[2]
141021153,2,[2]
142635260,2,[2]
159747564,0,[0]
167939376,2,[2]
173332472,1,[1]
174768030,1,[1]
176295721,2,[2]
176919659,2,[2]
177352756,1,[1]
182163783,1,[1]
200291506,2,[2]
203747496,1,[1]
204089551,1,[1]
204980873,2,[2]
210839744,1,[1]
211270920,1,[1]
215298957,0,[0]
218764303,0,[0]
219184547,0,[0]
227126986,1,[1]
233386754,0,[0]
234927940,1,[1]
237420957,2,[2]
238289569,2,[2]
252348804,1,[1]
259410199,0,[0]
262045931,0,[0]
271268885,1,[1]
275215221,0,[0]
278342475,0,[0]
280325571,0,[0]
284422688,0,[0]
292028596,1,[1]
293353298,1,[1]
294656128,0,[0]
297472992,0,[0]
314628781,2,[2]
325552188,0,[0]
325670642,0,[0]
330582356,0,[0]
332090339,0,[0]
334321077,0,[0]
336875043,0,[0]
348610731,1,[1]
357741061,0,[0]
364598207,0,[0]
380196467,0,[0]
394968954,1,[1]
404565458,0,[0]
429537308,0,[0]
444206293,0,[0]
472533325,1,[1]
472549100,0,[0]
474919140,0,[0]
486339492,1,[1]
508226086,0,[0]
