ego_id,ego_label,matrix_role,community_source,scenario_name,seed_strategy,propagation_regime,budget_k,budget_requested,budget_sanitized,max_blockers_graph,greedy_pool_size,pool_may_limit_greedy_family,method,n_nodes,n_edges,n_seeds,p,mean_infected,std_infected,mean_infected_stderr,mean_infection_rate,mean_steps,mean_worst_community_infection_rate,runtime_seconds,random_seed_eval,random_seed_seed_selection,random_seed_random_block,random_seed_greedy,n_runs_greedy_oracle,n_runs_eval,blocked_nodes_json,seeds_json,fairness_lambda
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,0,5,5,151,15,False,no_intervention,161,2520,10,0.01,12.6875,2.5277712830820884,0.3648523576843124,0.07880434782608696,2.6041666666666665,0.08770892462945441,0.00662,314159265,8178955,14596066,20210167,48,48,[],"[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,5,5,5,151,15,False,random_blocking,161,2520,10,0.01,12.395833333333334,2.3586832184129123,0.34044659777093694,0.07699275362318841,2.4375,0.0820916114790287,0.00631,314159265,8178955,14596066,20210167,48,48,"[14075928, 28223477, 115485051, 348785149, 498213642]","[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,5,5,5,151,15,False,top_degree_blocking,161,2520,10,0.01,11.979166666666666,2.067885993537725,0.2984736337556156,0.0744047619047619,2.1875,0.08351072216966256,0.00556,314159265,8178955,14596066,20210167,48,48,"[15485441, 16312576, 17446621, 19678610, 50735431]","[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,5,5,5,151,15,False,pagerank_blocking,161,2520,10,0.01,12.0,2.2784840051451156,0.3288708384286973,0.07453416149068323,2.2083333333333335,0.08260406811731315,0.0056,314159265,8178955,14596066,20210167,48,48,"[16312576, 17446621, 19678610, 50735431, 115485051]","[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,5,5,5,151,15,False,greedy_blocking,161,2520,10,0.01,12.0625,2.2160560135788874,0.31986013399476493,0.0749223602484472,2.3333333333333335,0.09010038894144855,0.00567,314159265,8178955,14596066,20210167,48,48,"[15485441, 16312576, 17446621, 20108560, 115485051]","[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b5,random,low,5,5,5,151,15,False,fairness_aware_greedy_blocking,161,2520,10,0.01,12.020833333333334,2.0985261629862015,0.302896161275389,0.07466356107660456,2.25,0.08106669820245979,0.00571,314159265,8178955,14596066,20210167,48,48,"[16312576, 17446621, 22677790, 27942809, 50735431]","[12925072, 19404587, 21798005, 23671862, 30309257, 40511475, 50374439, 57034964, 78767466, 125481462]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,0,10,10,151,16,False,no_intervention,161,2520,10,0.01,13.729166666666666,2.8712780409867107,0.4144332874704847,0.0852743271221532,2.7291666666666665,0.11258935141385473,0.00832,314159265,1643487,17897504,20063135,48,48,[],"[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,10,10,10,151,16,False,random_blocking,161,2520,10,0.01,12.958333333333334,2.5007091192881234,0.36094627079648756,0.08048654244306419,2.5,0.09382555450436246,0.00757,314159265,1643487,17897504,20063135,48,48,"[18742360, 19678610, 42343110, 50374439, 56481539, 87595338, 155823836, 205302299, 227347152, 275197798]","[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,10,10,10,151,16,False,top_degree_blocking,161,2520,10,0.01,12.083333333333334,1.8774511165501648,0.2709867268826503,0.07505175983436853,2.25,0.08726216756018079,0.00614,314159265,1643487,17897504,20063135,48,48,"[14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 105570240]","[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,10,10,10,151,16,False,pagerank_blocking,161,2520,10,0.01,12.4375,2.2304111823951187,0.32193212413984335,0.07725155279503106,2.4791666666666665,0.09045516661410702,0.00638,314159265,1643487,17897504,20063135,48,48,"[7081402, 14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 50735431, 105570240]","[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,10,10,10,151,16,False,greedy_blocking,161,2520,10,0.01,12.270833333333334,1.9972276885013167,0.2882749858973023,0.07621635610766046,2.3125,0.08412172816146325,0.00633,314159265,1643487,17897504,20063135,48,48,"[7081402, 14220046, 14506253, 15485441, 16312576, 17446621, 19678610, 20108560, 31353077, 50735431]","[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b10,random,low,10,10,10,151,16,False,fairness_aware_greedy_blocking,161,2520,10,0.01,12.375,2.2467470575090407,0.3242900046134611,0.07686335403726709,2.3958333333333335,0.10742536528960368,0.00636,314159265,1643487,17897504,20063135,48,48,"[14506253, 15485441, 16312576, 17446621, 19637934, 22677790, 27942809, 33051095, 50735431, 105570240]","[14022672, 14948334, 20196258, 20221159, 22851208, 23671862, 30271564, 110827653, 115485051, 115818447]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,0,20,20,151,15,True,no_intervention,161,2520,10,0.01,14.791666666666666,3.254838188175516,0.469795426027952,0.09187370600414078,3.0,0.3611111111111111,0.01013,314159265,1544483,10234426,20100875,48,48,[],"[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,20,20,20,151,15,True,random_blocking,161,2520,10,0.01,14.0,2.7521751552374685,0.3972422666833382,0.08695652173913043,2.8958333333333335,0.3333333333333333,0.00906,314159265,1544483,10234426,20100875,48,48,"[807095, 14022672, 16986563, 17220817, 19404587, 22677790, 23697509, 25209206, 30271564, 42343110, 44312605, 56481539, 62589395, 96164737, 105570240, 205302299, 237930644, 262359713, 498193115, 498306782]","[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,20,20,20,151,15,True,top_degree_blocking,161,2520,10,0.01,12.041666666666666,1.7619903317209247,0.2543213980821485,0.07479296066252587,2.2083333333333335,0.3541666666666667,0.00616,314159265,1544483,10234426,20100875,48,48,"[7081402, 14220046, 14497313, 14506253, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 33051095, 48410093, 50735431, 62290422, 92367751, 105570240, 115485051]","[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,20,20,20,151,15,True,pagerank_blocking,161,2520,10,0.01,12.145833333333334,1.8564388619685137,0.267953869172901,0.07543995859213251,2.25,0.3611111111111111,0.0062,314159265,1544483,10234426,20100875,48,48,"[7081402, 14075928, 14220046, 14506253, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 33051095, 48410093, 50735431, 92367751, 96164737, 105570240, 115485051]","[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,15,20,20,151,15,True,greedy_blocking,161,2520,10,0.01,12.333333333333334,1.927773860373044,0.2782501893057753,0.07660455486542443,2.2291666666666665,0.34027777777777773,0.00649,314159265,1544483,10234426,20100875,48,48,"[7081402, 14506253, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 33051095, 50735431, 105570240, 115485051]","[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_low_random_b20,random,low,15,20,20,151,15,True,fairness_aware_greedy_blocking,161,2520,10,0.01,12.333333333333334,1.927773860373044,0.2782501893057753,0.07660455486542443,2.2291666666666665,0.34027777777777773,0.00649,314159265,1544483,10234426,20100875,48,48,"[7081402, 14506253, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 33051095, 50735431, 105570240, 115485051]","[14824849, 18713254, 19058681, 20172395, 21798005, 31353077, 52551600, 81236738, 116804871, 252192024]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b5,random,medium,0,5,5,151,16,False,no_intervention,161,2520,10,0.03,62.520833333333336,12.948325420905737,1.8689297918287007,0.3883281573498965,9.0625,0.46479160096709765,0.03393,314159265,4472812,13465134,20161937,48,48,[],"[12369372, 13274322, 15485441, 19554706, 23697509, 24447643, 38536306, 78767466, 105570240, 288452305]",3.0
